3.521	1958.000
11.521	1220.000
19.521	389.000
27.521	91.000
35.522	56.000
43.522	29.000
51.522	28.000
59.522	19.000
67.522	21.000
75.522	18.000
83.523	13.000
91.523	13.000
99.523	14.000
107.523	13.000
115.523	10.000
123.523	15.000
131.524	10.000
139.524	8.000
147.524	8.000
155.524	10.000
163.524	13.000
171.524	15.000
179.525	14.000
187.525	8.000
195.525	15.000
203.525	10.000
211.525	8.000
219.525	15.000
227.526	8.000
235.526	13.000
243.526	10.000
251.526	13.000
259.526	16.000
267.526	21.000
275.527	13.000
283.527	19.000
291.527	10.000
299.527	37.000
307.527	107.000
315.527	307.000
323.528	799.000
331.528	1512.000
339.528	2269.000
347.528	2395.000
355.528	1983.000
363.528	1255.000
371.529	619.000
379.529	236.000
387.529	86.000
395.529	74.000
403.529	59.000
411.529	56.000
419.530	53.000
427.530	50.000
435.530	49.000
443.530	55.000
451.530	42.000
459.530	52.000
467.531	59.000
475.531	46.000
483.531	39.000
491.531	37.000
499.531	36.000
507.531	48.000
515.532	28.000
